model,preprocessing,vectorization,n_features,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,training_time,device
Multinomial NB,clean_standard_stopwords_lemma,binarized,37338,0.694853549561476,0.512012662390956,0.2928205153674205,0.29639703894605757,0.6839555008658644,0.694853549561476,0.6757416194570182,0.007154,CPU
Random Forest,clean_standard_stopwords_lemma,binarized,37338,0.6965083567764355,0.18936082132803445,0.20012445182057775,0.16458944149112298,0.5334434030859647,0.6965083567764355,0.5723257609444309,0.147465,CPU
Logistic Regression,clean_standard_stopwords_lemma,frequency,37338,0.7296045010756247,0.4747080492874137,0.4202880367486671,0.44067033925717336,0.6956428935322517,0.7296045010756247,0.7077476798891907,7.191457,CPU
Linear SVC,clean_standard_stopwords_lemma,frequency,37338,0.6933642230680126,0.4449360349791739,0.39857816854028283,0.41780019837579585,0.6772364547512049,0.6933642230680126,0.6843234695681617,1.950471,CPU
Multinomial NB,clean_standard_stopwords_lemma,frequency,37338,0.6950190302829721,0.4983231993623787,0.31302733206519584,0.32058702906840375,0.6951484519372565,0.6950190302829721,0.684013495912109,0.006417,CPU
Random Forest,clean_standard_stopwords_lemma,frequency,37338,0.6961773953334437,0.17931765485260018,0.2000294173705896,0.16452710516008023,0.5236703700766128,0.6961773953334437,0.5721094116612992,0.144951,CPU
Logistic Regression,clean_standard_stopwords_lemma,tfidf,37338,0.7319212311765679,0.5259478399189191,0.3381158189942927,0.3754610412484246,0.6857688910218478,0.7319212311765679,0.6944094329592341,0.452187,CPU
Linear SVC,clean_standard_stopwords_lemma,tfidf,37338,0.7276187324176734,0.4944641412222387,0.3968190284255074,0.4310404639775992,0.690895301246492,0.7276187324176734,0.7032855209548896,0.299495,CPU
Multinomial NB,clean_standard_stopwords_lemma,tfidf,37338,0.6970047989409234,0.19230621374152515,0.20076481077787087,0.16614040074388572,0.5370685621085514,0.6970047989409234,0.5743264689886466,0.005596,CPU
Random Forest,clean_standard_stopwords_lemma,tfidf,37338,0.6965083567764355,0.1393016713552871,0.2,0.16422161529457666,0.4851238910594104,0.6965083567764355,0.5719086370799877,0.15566,CPU
Logistic Regression,clean_standard_stopwords,tfidf,44478,0.7405262286943571,0.5645887489681354,0.35436254737801043,0.3957470842050648,0.7003288069421095,0.7405262286943571,0.7053509670088483,0.524355,CPU
Linear SVC,clean_standard_stopwords,tfidf,44478,0.7383749793149098,0.5549826683275862,0.43201149768350156,0.47132033892347175,0.7084986380138565,0.7383749793149098,0.7175584062939558,0.328296,CPU
Multinomial NB,clean_standard_stopwords,tfidf,44478,0.6966738374979314,0.18951251865362295,0.20042087268672729,0.1653572140957447,0.5339716953608299,0.6966738374979314,0.573289513170901,0.00704,CPU
Random Forest,clean_standard_stopwords,tfidf,44478,0.6965083567764355,0.13932472691161868,0.2,0.16423763535264851,0.4852041829976858,0.6965083567764355,0.5719644276016033,0.161755,CPU
Logistic Regression,clean_standard,tfidf,44735,0.7521098791990734,0.5637259575223432,0.37946050532405645,0.42041605091725953,0.7146093534794138,0.7521098791990734,0.721167630218143,0.707173,CPU
Linear SVC,clean_standard,tfidf,44735,0.743835843124276,0.5676693068520443,0.44628800563003396,0.48428890886192627,0.7159483240634936,0.743835843124276,0.7242010298853124,0.492327,CPU
Multinomial NB,clean_standard,tfidf,44735,0.6965083567764355,0.1393939393939394,0.2,0.16428571428571428,0.4854452183593339,0.6965083567764355,0.5721318644949291,0.009438,CPU
Random Forest,clean_standard,tfidf,44735,0.6965083567764355,0.13932472691161868,0.2,0.16423763535264851,0.4852041829976858,0.6965083567764355,0.5719644276016033,0.184035,CPU
Logistic Regression,no_accents_clean_standard_stopwords,binarized,42276,0.7214959457223233,0.47141517680703016,0.4231909265248731,0.4434252164394158,0.700414315324042,0.7214959457223233,0.7093573948397488,11.220362,CPU
Linear SVC,no_accents_clean_standard_stopwords,binarized,42276,0.6882343207016383,0.45258134560851315,0.4058659655208695,0.42523744056100166,0.6795812973282342,0.6882343207016383,0.6832600531577013,2.066141,CPU
Multinomial NB,no_accents_clean_standard_stopwords,binarized,42276,0.6978322025484031,0.48558821612119907,0.3090577864244067,0.31405475415255113,0.6941174001638144,0.6978322025484031,0.6848121006144264,0.007919,CPU
Random Forest,no_accents_clean_standard_stopwords,binarized,42276,0.6963428760549396,0.1893277032621295,0.20007693459558368,0.16455040948487784,0.5333280680376493,0.6963428760549396,0.5721898303517734,0.146212,CPU
Logistic Regression,no_accents_clean_standard_stopwords,frequency,42276,0.7355618070494787,0.5143161151581999,0.4456013038286823,0.4732140165007343,0.7100740759963772,0.7355618070494787,0.7196797393234446,9.297331,CPU
Linear SVC,no_accents_clean_standard_stopwords,frequency,42276,0.7001489326493463,0.4790764187539781,0.43208543573833225,0.45221042534484807,0.6907599966785798,0.7001489326493463,0.6948279040117752,2.12127,CPU
Multinomial NB,no_accents_clean_standard_stopwords,frequency,42276,0.704285950686745,0.5211548670397858,0.3367341136727265,0.34710408774833107,0.7111270336676775,0.704285950686745,0.6974696568754242,0.007258,CPU
Random Forest,no_accents_clean_standard_stopwords,frequency,42276,0.6966738374979314,0.2593507784034449,0.20042087268672729,0.16525107248229015,0.6007673558663738,0.6966738374979314,0.572904444831346,0.141497,CPU
Logistic Regression,no_accents_clean_standard_stopwords,tfidf,42276,0.740857190137349,0.5562145755222434,0.35039636193026524,0.39058781132685116,0.6996052773051762,0.740857190137349,0.7058481534297146,0.496082,CPU
Linear SVC,no_accents_clean_standard_stopwords,tfidf,42276,0.7344034419990071,0.5591652708000062,0.4307018367743079,0.470687322794188,0.7045038054085518,0.7344034419990071,0.7133099654361121,0.327289,CPU
Multinomial NB,no_accents_clean_standard_stopwords,tfidf,42276,0.6966738374979314,0.18665391148161886,0.200545324507305,0.16573306947744942,0.53142903934763,0.6966738374979314,0.5737550222894747,0.006607,CPU
Random Forest,no_accents_clean_standard_stopwords,tfidf,42276,0.6966738374979314,0.3393247269116187,0.2001719690455718,0.16458127796433236,0.6776582620974707,0.6966738374979314,0.5722951047134586,0.163128,CPU
Logistic Regression,raw,binarized,45667,0.7216614264438193,0.4809283378926879,0.42460432144524196,0.4475608651056325,0.7038050876212013,0.7216614264438193,0.7114905759864942,14.924468,CPU
Linear SVC,raw,binarized,45667,0.6994870097633625,0.4572956725951098,0.41319579377511656,0.43172440932379386,0.6909275530948158,0.6994870097633625,0.6945878750992932,2.690891,CPU
Multinomial NB,raw,binarized,45667,0.7008108555353302,0.45134772290420555,0.29150839709905324,0.2926567945828652,0.6836527292311704,0.7008108555353302,0.6800436502155076,0.010183,CPU
Random Forest,raw,binarized,45667,0.6963428760549396,0.20600739881839764,0.20020138641616142,0.16488500926815397,0.5494112816150662,0.6963428760549396,0.5724941976904983,0.14866,CPU
Logistic Regression,raw,frequency,45667,0.7413536323018368,0.49903607489098684,0.41627789316670594,0.4452618852401159,0.7046197640336757,0.7413536323018368,0.7165399283538553,11.574804,CPU
Linear SVC,raw,frequency,45667,0.7077610458381599,0.477206593390188,0.43008916721483165,0.44978059377670315,0.7015456185766512,0.7077610458381599,0.7040039734795926,3.314648,CPU
Multinomial NB,raw,frequency,45667,0.7094158530531193,0.4888287389229963,0.3353708230769993,0.3364865581180598,0.716929550556752,0.7094158530531193,0.7028857760368655,0.009359,CPU
Random Forest,raw,frequency,45667,0.6966738374979314,0.2251112373378775,0.20042087268672729,0.1652813755302774,0.5679360281891546,0.6966738374979314,0.5730144026500373,0.155902,CPU
Logistic Regression,raw,tfidf,45667,0.752937282806553,0.5774057341054752,0.3838225663069257,0.42640548079211127,0.716602592160183,0.752937282806553,0.7221034213095974,0.679478,CPU
